title,"Quarter Ending Dec 2021 (Update)","Quarter Ending Sep 2021 (Update)","Quarter Ending Jun 2021 (Update)"
"Net Income/Starting Line",321.988000,348.214000,364.205000
Depreciation,155.822000,107.919000,63.542000
Depreciation/Depletion,155.822000,107.919000,63.542000
"Deferred Taxes",8.415000,86.982000,28.067000
"Unusual Items",-268.073000,-271.195000,-273.678000
"Other Non-Cash Items",149.549000,87.406000,51.689000
"Non-Cash Items",-118.524000,-183.789000,-221.989000
"Accounts Receivable",38.185000,-111.049000,-181.975000
Inventories,-177.467000,-27.280000,26.479000
"Other Assets",-51.709000,-57.943000,-50.276000
"Accrued Expenses",-3.600000,9.272000,6.330000
Payable/Accrued,96.842000,71.230000,62.414000
"Taxes Payable",8.778000,2.679000,-3.646000
"Other Liabilities",-0.473000,0.569000,7.316000
"Changes in Working Capital",-89.444000,-112.522000,-133.358000
"Cash from Operating Activities",278.257000,246.804000,100.467000
"Purchase of Fixed Assets",-322.274000,-198.896000,-120.833000
"Capital Expenditures",-322.274000,-198.896000,-120.833000
"Acquisition of Business",0.000000,,
"Sale of Business",171.294000,171.294000,171.294000
"Sale of Fixed Assets",0.020000,0.000000,
"Sale/Maturity of Investment",19.096000,18.591000,
"Purchase of Investments",-30.000000,0.000000,
"Sale of Intangible Assets",,,
"Other Investing Cash Flow",,,0.000000
"Other Investing Cash Flow Items, Total",160.410000,189.885000,171.294000
"Cash from Investing Activities",-161.864000,-9.011000,50.461000
"Other Financing Cash Flow",-9.018000,-9.018000,-9.018000
"Financing Cash Flow Items",-9.018000,-9.018000,-9.018000
"Cash Dividends Paid - Common",-0.003000,-0.003000,-0.003000
"Total Cash Dividends Paid",-0.003000,-0.003000,-0.003000
"Sale/Issuance of Common",,,
"Repurchase/Retirement of Common",-38.137000,-12.938000,-12.538000
"Common Stock, Net",-38.137000,-12.938000,-12.538000
"Options Exercised",22.270000,19.520000,18.403000
"Issuance (Retirement) of Stock, Net",-15.867000,6.582000,5.865000
"Short Term Debt, Net",-13.034000,7.978000,-110.757000
"Long Term Debt Issued",115.373000,69.508000,24.799000
"Long Term Debt Reduction",-201.523000,-161.325000,-12.229000
"Long Term Debt, Net",-86.150000,-91.817000,12.570000
"Issuance (Retirement) of Debt, Net",-99.184000,-83.839000,-98.187000
"Cash from Financing Activities",-124.072000,-86.278000,-101.343000
"Foreign Exchange Effects",-0.752000,-3.775000,1.969000
"Net Change in Cash",-8.431000,147.740000,51.554000
"Net Cash - Beginning Balance",366.119000,366.119000,366.119000
"Net Cash - Ending Balance",357.688000,513.859000,417.673000
"Cash Interest Paid",88.604000,68.124000,41.422000
"Cash Taxes Paid",9.383000,8.021000,6.566000
