title,"Quarter Ending Dec 2021 (Update)","Quarter Ending Sep 2021 (Update)","Quarter Ending Jun 2021 (Update)"
"Net Sales",711.724000,856.461000,913.641000
Revenue,711.724000,856.461000,913.641000
"Total Revenue",711.724000,856.461000,913.641000
"Cost of Revenue",262.293000,328.434000,357.794000
"Cost of Revenue, Total",262.293000,328.434000,357.794000
"Gross Profit",449.431000,528.027000,555.847000
"Selling/General/Administrative Expense",218.092000,203.511000,206.473000
"Labor & Related Expense",10.976000,10.867000,10.471000
"Selling/General/Admin. Expenses, Total",229.068000,214.378000,216.944000
"Research & Development",19.231000,15.753000,20.271000
"Amortization of Intangibles",3.646000,3.358000,3.736000
Depreciation/Amortization,3.646000,3.358000,3.736000
"Restructuring Charge",,,
"Impairment-Assets Held for Use",0.000000,0.000000,0.000000
"Loss(Gain) on Sale of Assets - Operating",,,
"Other Unusual Expense (Income)",4.217000,0.000000,0.444000
"Unusual Expense (Income)",4.217000,0.000000,0.444000
"Other Operating Expense",247.932000,218.528000,207.183000
"Other Operating Expenses, Total",247.932000,218.528000,207.183000
"Total Operating Expense",766.387000,780.451000,806.372000
"Operating Income",-54.663000,76.010000,107.269000
"Interest Expense - Non-Operating",-40.502000,-28.807000,-29.064000
"Interest Expense, Net Non-Operating",-40.502000,-28.807000,-29.064000
"Interest Income - Non-Operating",,0.077000,0.188000
"Investment Income - Non-Operating",0.000000,0.000000,0.000000
"Interest/Invest Income -  Non-Operating",0.000000,0.077000,0.188000
"Interest Inc.(Exp.),Net-Non-Op., Total",-40.502000,-28.730000,-28.876000
"Other Non-Operating Income (Expense)",-0.526000,2.958000,-2.502000
"Other, Net",-0.526000,2.958000,-2.502000
"Net Income Before Taxes",-95.691000,50.238000,75.891000
"Provision for Income Taxes",-69.465000,66.229000,-15.853000
"Net Income After Taxes",-26.226000,-15.991000,91.744000
"Minority Interest",0.000000,,
"Net Income Before Extra. Items",-26.226000,-15.991000,91.744000
"Extraordinary Item",,,
"Total Extraordinary Items",,,
"Net Income",-26.226000,-15.991000,91.744000
"Preferred Dividends",,,
"Total Adjustments to Net Income",,,
"Income Available to Com Excl ExtraOrd",-26.226000,-15.991000,91.744000
"Income Available to Com Incl ExtraOrd",-26.226000,-15.991000,91.744000
"Basic Weighted Average Shares",186.981000,185.963000,185.225000
"Basic EPS Excluding Extraordinary Items",-0.140260,-0.085990,0.495310
"Basic EPS Including Extraordinary Items",-0.140260,-0.085990,0.495310
"Dilution Adjustment",,,
"Diluted Net Income",-26.226000,-15.991000,91.744000
"Diluted Weighted Average Shares",186.981000,185.963000,194.334000
"Diluted EPS Excluding ExtraOrd Items",-0.140260,-0.085990,0.472090
"Diluted EPS Including ExtraOrd Items",-0.140260,-0.085990,0.472090
"DPS - Common Stock Primary Issue",,0.000000,0.000000
"Dividends per Share - Com Stock Issue 2",,0.000000,0.000000
"Gross Dividends - Common Stock",0.000000,0.000000,0.000000
"Restructuring Charge, Supplemental",,,
"Other Unusual Expense(Income), Suppl.",,,
"Non-Recurring Items, Supplemental, Total",,,
"Total Special Items",4.217000,0.000000,0.444000
"Normalized Income Before Taxes",-91.474000,50.238000,76.335000
"Effect of Special Items on Income Taxes",1.475950,0.000000,0.155400
"Inc Tax Ex Impact of Sp Items",-67.989050,66.229000,-15.697600
"Normalized Income After Taxes",-23.484950,-15.991000,92.032600
"Normalized Inc. Avail to Com.",-23.484950,-15.991000,92.032600
"Basic Normalized EPS",-0.125600,-0.085990,0.496870
"Diluted Normalized EPS",-0.125600,-0.085990,0.473580
"Amort of Intangibles, Supplemental",3.646000,3.358000,3.736000
"Depreciation, Supplemental",44.257000,41.019000,39.534000
"Interest Expense, Supplemental",40.502000,28.807000,29.064000
"Rental Expense, Supplemental",43.264000,41.610000,40.915000
"Stock-Based Compensation, Supplemental",11.562000,11.475000,11.036000
"Minority Interest, Supplemental",0.000000,,
"Research & Development Exp, Supplemental",19.231000,15.753000,20.271000
"Gross Margin",63.146810,61.652190,60.838670
"Operating Margin",-7.680360,8.874890,11.740830
"Pretax Margin",-13.444960,5.865770,8.306440
"Effective Tax Rate",,131.830490,-20.889170
"Net Profit Margin",-3.684860,-1.867100,10.041580
"Normalized EBIT",-50.446000,76.010000,107.713000
"Normalized EBITDA",-2.543000,120.387000,150.983000
