,date,ticker,inventory,deferredLongTermLiab,dividendsPaid,operatingIncome,otherCurrentAssets,netTangibleAssets,otherLiab,issuanceOfStock,grossProfit,netIncomeApplicableToCommonShares,totalCurrentLiabilities,commonStock,totalCurrentAssets,incomeBeforeTax,incomeTaxExpense,totalOtherIncomeExpenseNet,interestExpense,repurchaseOfStock,netReceivables,longTermDebt,changeToNetincome,changeInCash,capitalExpenditures,effectOfAccountingCharges,otherItems,otherCashflowsFromInvestingActivities,depreciation,changeToAccountReceivables,extraordinaryItems,otherCurrentLiab,totalStockholderEquity,intangibleAssets,effectOfExchangeRate,sellingGeneralAdministrative,cash,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,netIncomeFromContinuingOps,treasuryStock,deferredLongTermAssetCharges,shortLongTermDebt,totalLiab,costOfRevenue,nonRecurring,otherStockholderEquity,totalCashFromOperatingActivities,otherAssets,totalOperatingExpenses,discontinuedOperations,propertyPlantEquipment,otherCashflowsFromFinancingActivities,netIncome,goodWill,capitalSurplus,otherOperatingExpenses,minorityInterest,ebit,investments,longTermInvestments,shortTermInvestments,retainedEarnings,changeToLiabilities,changeToInventory,changeToOperatingActivities,totalAssets,accountsPayable,netBorrowings,researchDevelopment,totalRevenue,company_name,sector,specific
0,"31 October, 2021",A,830000000.0,,-236000000.0,1404000000.0,156000000.0,433000000.0,749000000.0,55000000.0,3407000000.0,1210000000.0,1708000000.0,3000000.0,3799000000.0,1360000000.0,150000000.0,-44000000.0,-81000000.0,-864000000.0,1238000000.0,2729000000.0,56000000.0,43000000.0,-188000000.0,,,-5000000.0,321000000.0,-128000000.0,,584000000.0,5389000000.0,981000000.0,3000000.0,1562000000.0,1484000000.0,-749000000.0,-696000000.0,1210000000.0,-282000000.0,309000000.0,,5316000000.0,2912000000.0,,-282000000.0,1485000000.0,642000000.0,4915000000.0,,1123000000.0,-7000000.0,1210000000.0,3975000000.0,5320000000.0,,,1404000000.0,-10000000.0,185000000.0,91000000.0,348000000.0,64000000.0,-136000000.0,98000000.0,10705000000.0,446000000.0,356000000.0,441000000,6319000000.0,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
1,"31 October, 2020",A,720000000.0,,-222000000.0,1045000000.0,127000000.0,440000000.0,876000000.0,60000000.0,2837000000.0,719000000.0,1467000000.0,3000000.0,3415000000.0,842000000.0,123000000.0,-203000000.0,-78000000.0,-506000000.0,1127000000.0,2284000000.0,220000000.0,59000000.0,-119000000.0,,,-9000000.0,308000000.0,-107000000.0,,496000000.0,4873000000.0,831000000.0,2000000.0,1395000000.0,1441000000.0,-147000000.0,-717000000.0,719000000.0,-522000000.0,380000000.0,,4754000000.0,2502000000.0,,-522000000.0,921000000.0,601000000.0,4294000000.0,,1020000000.0,-4000000.0,719000000.0,3602000000.0,5311000000.0,,,1045000000.0,-20000000.0,158000000.0,,81000000.0,2000000.0,-68000000.0,-153000000.0,9627000000.0,354000000.0,-45000000.0,397000000,5339000000.0,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
2,"31 October, 2019",A,679000000.0,,-206000000.0,1043000000.0,130000000.0,48000000.0,833000000.0,54000000.0,2805000000.0,1071000000.0,2080000000.0,3000000.0,3189000000.0,919000000.0,-152000000.0,-124000000.0,-74000000.0,-739000000.0,998000000.0,1791000000.0,-152000000.0,-866000000.0,-155000000.0,,,-3000000.0,238000000.0,-106000000.0,,666000000.0,4748000000.0,1107000000.0,2000000.0,1358000000.0,1382000000.0,-1590000000.0,-299000000.0,1071000000.0,-514000000.0,410000000.0,,4704000000.0,2358000000.0,,-514000000.0,1021000000.0,611000000.0,4120000000.0,,850000000.0,-8000000.0,1071000000.0,3593000000.0,5277000000.0,,,1043000000.0,-23000000.0,102000000.0,,-18000000.0,29000000.0,-36000000.0,-23000000.0,9452000000.0,354000000.0,600000000.0,404000000,5163000000.0,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
3,"31 October, 2018",A,638000000.0,,-191000000.0,971000000.0,128000000.0,1103000000.0,1000000000.0,56000000.0,2680000000.0,316000000.0,1171000000.0,3000000.0,3848000000.0,946000000.0,630000000.0,-25000000.0,-75000000.0,-452000000.0,835000000.0,1799000000.0,90000000.0,-432000000.0,-177000000.0,,,-2000000.0,210000000.0,-65000000.0,,435000000.0,4567000000.0,491000000.0,-17000000.0,1322000000.0,2247000000.0,-705000000.0,-797000000.0,316000000.0,-408000000.0,165000000.0,,3970000000.0,2234000000.0,,-408000000.0,1087000000.0,339000000.0,3943000000.0,,822000000.0,-8000000.0,316000000.0,2973000000.0,5308000000.0,,4000000.0,971000000.0,-11000000.0,68000000.0,,-336000000.0,40000000.0,-83000000.0,27000000.0,8541000000.0,340000000.0,-210000000.0,387000000,4914000000.0,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
0,"31 December, 2021",ABT,5157000000.0,,-3202000000.0,9218000000.0,292000000.0,-168000000.0,7815000000.0,255000000.0,25009000000.0,7042000000.0,13105000000.0,24470000000.0,24239000000.0,8211000000.0,1140000000.0,-1007000000.0,-533000000.0,-2299000000.0,6487000000.0,17296000000.0,695000000.0,2961000000.0,-1885000000.0,,,26000000.0,3538000000.0,-383000000.0,,1234000000.0,35802000000.0,12739000000.0,-70000000.0,11006000000.0,9799000000.0,-2008000000.0,-5494000000.0,7071000000.0,-20196000000.0,3972000000.0,754000000.0,39172000000.0,18066000000.0,,-8374000000.0,10533000000.0,4363000000.0,33857000000.0,,10112000000.0,,7071000000.0,23231000000.0,,,222000000.0,9218000000.0,-96000000.0,512000000.0,450000000.0,31528000000.0,1288000000.0,-456000000.0,-312000000.0,75196000000.0,4408000000.0,-248000000.0,2738000000,43075000000.0,Abbott Laboratories,Healthcare,Medical Devices
1,"31 December, 2020",ABT,5012000000.0,,-2560000000.0,5665000000.0,90000000.0,-5744000000.0,8209000000.0,245000000.0,19753000000.0,4473000000.0,11907000000.0,24145000000.0,20441000000.0,4968000000.0,497000000.0,-697000000.0,-546000000.0,-403000000.0,6414000000.0,18527000000.0,971000000.0,2978000000.0,-2177000000.0,,,19000000.0,3327000000.0,-924000000.0,,1658000000.0,32784000000.0,14784000000.0,71000000.0,9591000000.0,6838000000.0,-2215000000.0,-2779000000.0,4471000000.0,-18988000000.0,2418000000.0,7000000.0,39545000000.0,14855000000.0,,-8946000000.0,7901000000.0,2784000000.0,28943000000.0,24000000.0,10130000000.0,-11000000.0,4495000000.0,23744000000.0,,,219000000.0,5665000000.0,-73000000.0,665000000.0,310000000.0,27627000000.0,1766000000.0,-493000000.0,-627000000.0,72548000000.0,3946000000.0,-50000000.0,2365000000,34608000000.0,Abbott Laboratories,Healthcare,Medical Devices
2,"31 December, 2019",ABT,4316000000.0,,-2270000000.0,4757000000.0,148000000.0,-9132000000.0,8307000000.0,298000000.0,18673000000.0,3666000000.0,10863000000.0,23853000000.0,15667000000.0,4077000000.0,390000000.0,-680000000.0,-670000000.0,-718000000.0,5425000000.0,16661000000.0,766000000.0,16000000.0,-1638000000.0,,,27000000.0,3014000000.0,-275000000.0,,950000000.0,31088000000.0,17025000000.0,-16000000.0,9540000000.0,3860000000.0,-1815000000.0,-4289000000.0,3687000000.0,-18612000000.0,2097000000.0,1277000000.0,36586000000.0,13231000000.0,,-8465000000.0,6136000000.0,2443000000.0,27147000000.0,24000000.0,8972000000.0,-11000000.0,3687000000.0,23195000000.0,,,213000000.0,4757000000.0,-82000000.0,585000000.0,280000000.0,25847000000.0,220000000.0,-593000000.0,-138000000.0,67887000000.0,3252000000.0,-1599000000.0,2440000000,31904000000.0,Abbott Laboratories,Healthcare,Medical Devices
3,"31 December, 2018",ABT,3796000000.0,,-1974000000.0,3838000000.0,114000000.0,-11672000000.0,8080000000.0,271000000.0,17882000000.0,2353000000.0,9012000000.0,23512000000.0,14632000000.0,2873000000.0,539000000.0,-965000000.0,-826000000.0,-238000000.0,5182000000.0,19359000000.0,802000000.0,-5563000000.0,-1394000000.0,,,102000000.0,3278000000.0,-190000000.0,,868000000.0,30524000000.0,18942000000.0,-116000000.0,9568000000.0,3844000000.0,-1356000000.0,-10391000000.0,2334000000.0,-17548000000.0,1885000000.0,7000000.0,36451000000.0,12696000000.0,,-7586000000.0,6300000000.0,2192000000.0,26740000000.0,34000000.0,7563000000.0,-11000000.0,2368000000.0,23254000000.0,,,198000000.0,3838000000.0,-58000000.0,590000000.0,242000000.0,24560000000.0,747000000.0,-514000000.0,23000000.0,67173000000.0,2975000000.0,-8450000000.0,2298000000,30578000000.0,Abbott Laboratories,Healthcare,Medical Devices
0,"30 October, 2021",ADI,1200610000.0,,-1109344000.0,1773378000.0,,-4193098000.0,5010223000.0,63105000.0,4525012000.0,1390422000.0,2770312000.0,87554000.0,5378317000.0,1328714000.0,-61708000.0,-444664000.0,-184825000.0,-3105144000.0,1459056000.0,6253212000.0,356379000.0,922104000.0,-343676000.0,,,-4238000.0,1074634000.0,-114504000.0,,1043722000.0,37992542000.0,15267170000.0,3174000.0,918697000.0,1977964000.0,2143525000.0,-3959664000.0,1390422000.0,-186565000.0,2267269000.0,516663000.0,14329529000.0,2793274000.0,,-186565000.0,2735069000.0,2371665000.0,5544908000.0,,2258593000.0,-155939000.0,1390422000.0,26918470000.0,30574237000.0,,,1773378000.0,30125000.0,127856000.0,,7517316000.0,208444000.0,-65114000.0,-102604000.0,52322071000.0,443434000.0,347658000.0,1296126000,7318286000.0,"Analog Devices, Inc.",Technology,Semiconductors
1,"31 October, 2020",ADI,608260000.0,,-886155000.0,1549580000.0,5550000.0,-3930760000.0,2672078000.0,68403000.0,3690478000.0,1220761000.0,1364986000.0,61582000.0,2517688000.0,1311617000.0,90856000.0,-237963000.0,-193305000.0,-244487000.0,737536000.0,5145102000.0,80988000.0,407538000.0,-165692000.0,,,-635000.0,810923000.0,-101626000.0,,505373000.0,11997945000.0,3650280000.0,182000.0,660924000.0,1055860000.0,-180523000.0,-1420608000.0,1220761000.0,-249461000.0,1503064000.0,214586000.0,9470658000.0,1912578000.0,,-249461000.0,2008487000.0,1558295000.0,4053476000.0,,1377186000.0,-4015000.0,1220761000.0,12278425000.0,4949586000.0,,,1549580000.0,30125000.0,86729000.0,,7236238000.0,103104000.0,1760000.0,-136864000.0,21468603000.0,227273000.0,-354354000.0,1050519000,5603056000.0,"Analog Devices, Inc.",Technology,Semiconductors
